ADMUnitID, Country, ADMParent, ADMName, ADMLevel,YEAR,tMEANY,tseMEANY,tFGT_0,tseFGT_0,tFGT_1,tseFGT_1,tFGT_2,tseFGT_2,tFGT_0lo,tseFGT_0lo,tGINI,tseGINI,tpoorper,tGE_0,tseGE_0,tGE_1,tseGE_1,tGE_2,tseGE_2,tATK_0_5,tseATK_0_5,tATK_2,tseATK_2,tNUMHH,tNUMHH_W,tNUMPER,tNUMPER_W,
4540025,Malawi,4540023,"Kasungu National Park",3,1998,34.4113,9.88208,.08339,.066706,.02493,.024227,.01118,.012847,.02675,.032577,.29219,.039176,32.10515,.1771,.046256,.16187,.040991,.17541,.0506,.08089,.019854,.31764,.071485,98,98,385,351,
4540026,Malawi,4540023,"SC Chilowamatambe",3,1998,11.3464,.58947,.58869,.037525,.21493,.022264,.10364,.013927,.25634,.034306,.34121,.015085,17776.08324,.19413,.017592,.20182,.020098,.26242,.03606,.09409,.008472,.31494,.022108,5995,5963,30196,30038,
4540027,Malawi,4540023,"SC Chisikwa",3,1998,12.4215,.87655,.51907,.054628,.16828,.025484,.07432,.014203,.18219,.037797,.32132,.015235,2406.40852,.17307,.016989,.18185,.0196,.23454,.03624,.08473,.008233,.28402,.023404,851,845,4636,4621,
4540028,Malawi,4540023,"SC Kawamba",3,1998,10.0346,.8253,.66081,.053453,.25469,.035411,.12694,.022918,.31538,.056279,.32889,.013943,26787.25497,.18028,.015724,.18687,.017111,.23952,.02839,.08751,.007452,.29801,.02097,7858,7768,40537,40230,
4540029,Malawi,4540023,"SC Lukwa",3,1998,11.148,.62113,.59731,.034833,.21904,.022081,.10619,.0141,.26103,.035894,.33798,.014887,15767.19207,.19104,.017236,.19739,.019609,.25369,.03484,.09237,.008285,.31293,.021752,5666,5645,26397,26279,
4540030,Malawi,4540023,"SC M'nyanja",3,1998,14.3844,.5912,.42186,.023271,.13324,.011105,.05919,.006606,.13997,.017487,.3369,.014794,8161.30356,.19148,.017388,.19545,.018394,.24873,.03062,.09199,.008075,.31825,.023847,3408,3367,19346,19224,
4540031,Malawi,4540023,"SC Njombwa",3,1998,12.21658,.9832501,.5962593,.0457058,.225156,.0289564,.1111869,.0188157,.2751111,.0449789,.3892466,.0358608,14631.6069627,.2571698,.0494584,.3004552,.0772152,.5341071,.2390307,.1286069,.026515,.3704558,.0440168,5184,5134,24539,24269,
4540032,Malawi,4540023,"SC Simlemba",3,1998,13.7547,.76068,.43335,.036458,.13222,.015926,.05662,.008553,.13567,.022587,.31746,.015419,10071.48735,.16812,.016912,.17211,.018112,.21371,.02892,.08139,.007991,.28308,.023266,4305,4265,23241,23024,
4540033,Malawi,4540023,"TA Chulu",3,1998,15.01997,.7540533,.3750359,.0311903,.1141939,.0140507,.0497914,.0077259,.1162316,.0196372,.3242895,.0137588,16249.1804393,.1778718,.0154748,.178859,.016472,.2194774,.0263957,.0851397,.0072549,.302654,.0214754,7861,7790,43327,42952,
4540034,Malawi,4540023,"TA Kaluluma",3,1998,14.96316,.9059268,.4235484,.0286064,.1373939,.0133902,.0622295,.0079237,.1487996,.0204455,.3582775,.0192489,12631.4839332,.2167677,.0239867,.2253516,.0276058,.3022387,.0529015,.1043822,.0114401,.3453504,.0284609,5768,5682,29823,29665,
